price_change_percent_signed,product_id,curr_price,curr_scrape_date,prev_price,prev_scrape_date,product_name,listing_url,source_file
+902.61%,14699240-14531549,4221.0,2024-10-21,421.0,2024-10-17,Black Re-nylon Beauty Case,https://www.italist.com/us/women/bags/luggage/black-re-nylon-beauty-case/14531549/14699240/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
+23.06%,14687555-14519864,5337.0,2024-10-21,4337.0,2024-10-17,Printed Leather Mini Galleria Handbag,https://www.italist.com/us/women/bags/totes/printed-leather-mini-galleria-handbag/14519864/14687555/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
-91.48%,14670757-14503066,149.0,2024-10-21,1749.0,2024-10-17,Black Nylon Small Backpack,https://www.italist.com/us/women/bags/backpacks/black-nylon-small-backpack/14503066/14670757/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
+936.94%,14625132-14457441,28775.0,2024-10-21,2775.0,2024-10-17,Grey Leather Crossbody Bag,https://www.italist.com/us/women/bags/shoulder-bags/grey-leather-crossbody-bag/14457441/14625132/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
+867.98%,14625129-14457438,21189.0,2024-10-21,2189.0,2024-10-17,Pastel Yellow Leather Arquã¨ Handbag,https://www.italist.com/us/women/bags/totes/pastel-yellow-leather-arqua-handbag/14457438/14625129/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
+900.94%,14597352-14429661,42440.0,2024-10-21,4240.0,2024-10-17,Black Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/black-leather-shopping-bag/14429661/14597352/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
+891.14%,14565351-14397660,38149.0,2024-10-21,3849.0,2024-10-17,Caramel Leather Shopping Bag,https://www.italist.com/us/women/bags/totes/caramel-leather-shopping-bag/14397660/14565351/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
+882.15%,14565340-14397649,29170.0,2024-10-21,2970.0,2024-10-17,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397649/14565340/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
+882.88%,14565339-14397648,27275.0,2024-10-21,2775.0,2024-10-17,Embroidered Fabric Large Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-large-symbole-shopping-bag/14397648/14565339/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
+901.16%,14565337-14397646,25830.0,2024-10-21,2580.0,2024-10-17,Embroidered Fabric Small Symbole Shopping Bag,https://www.italist.com/us/women/bags/totes/embroidered-fabric-small-symbole-shopping-bag/14397646/14565337/prada/,/home/ubuntu/Documents/Projects/TDD-scraper/Analysis/../src/scrape_file_output/raw/RAW_SCRAPE_prada_2024-21-10_bags_6ff1078f/RAW_ITALIST_prada_2024-21-10_bags_6ff1078f.csv
