Scraped: 2024-21-11 
category: PRADA-BAGS 
product_id,brand,product_name,curr_price,listing_url,source
---------------------- 
14899143-14731452,PRADA,BLACK RE-NYLON RE-EDITION SHOULDER BAG,2482,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-RE-NYLON-RE-EDITION-SHOULDER-BAG/14731452/14899143/PRADA/,ITALIST
14891920-14724229,PRADA,BLACK RE-NYLON AND LEATHER SHOULDER BAG,1749,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-RE-NYLON-AND-LEATHER-SHOULDER-BAG/14724229/14891920/PRADA/,ITALIST
14888746-14721055,PRADA,BLACK LEATHER SHOULDER BAG,2677,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-SHOULDER-BAG/14721055/14888746/PRADA/,ITALIST
14888488-14720797,PRADA,BLACK LEATHER CROSSBODY BAG,2384,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-CROSSBODY-BAG/14720797/14888488/PRADA/,ITALIST
14888487-14720796,PRADA,BLACK LEATHER CROSSBODY BAG,2091,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-CROSSBODY-BAG/14720796/14888487/PRADA/,ITALIST
14861593-14693902,PRADA,STRAW HANDBAG,1408,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/STRAW-HANDBAG/14693902/14861593/PRADA/,ITALIST
14856956-14689265,PRADA,BLACK LEATHER CLEO SHOULDER BAG,2091,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-CLEO-SHOULDER-BAG/14689265/14856956/PRADA/,ITALIST
14852827-14685136,PRADA,ESTERNO: 100% NYLON 100% PELLE FODERA: 100% TESSUTO FINITURA: METALLO DORATO,3458,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/ESTERNO-100-NYLON-100-PELLE-FODERA-100-TESSUTO-FINITURA-METALLO-DORATO/14685136/14852827/PRADA/,ITALIST
14847013-14679322,PRADA,BLACK STRAW HANDBAG,1408,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-STRAW-HANDBAG/14679322/14847013/PRADA/,ITALIST
14847012-14679321,PRADA,WHITE LEATHER ARQU̬ HANDBAG,2189,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/WHITE-LEATHER-ARQUA-HANDBAG/14679321/14847012/PRADA/,ITALIST
14845898-14678207,PRADA,TWO-TONE WICKER AND CANVAS HANDBAG,2189,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/TWO-TONE-WICKER-AND-CANVAS-HANDBAG/14678207/14845898/PRADA/,ITALIST
14845653-14677962,PRADA,BLACK VELVET WRIST POUCH,509,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/CLUTCHES/BLACK-VELVET-WRIST-POUCH/14677962/14845653/PRADA/,ITALIST
14843264-14675573,PRADA,BLACK NYLON MINI BACKPACK,2775,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/BACKPACKS/BLACK-NYLON-MINI-BACKPACK/14675573/14843264/PRADA/,ITALIST
14840922-14673231,PRADA,BLACK NYLON BUCKET BAG,2511,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-NYLON-BUCKET-BAG/14673231/14840922/PRADA/,ITALIST
14840795-14673104,PRADA,SHOULDER BAG,3458,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAG/14673104/14840795/PRADA/,ITALIST
14826455-14658764,PRADA,BLACK NYLON BUCKET BAG,2287,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-NYLON-BUCKET-BAG/14658764/14826455/PRADA/,ITALIST
14819024-14651333,PRADA,BUCKET BAG,2287,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BUCKET-BAG/14651333/14819024/PRADA/,ITALIST
14804567-14636876,PRADA,BLACK LEATHER SHOPPING BAG,3361,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-SHOPPING-BAG/14636876/14804567/PRADA/,ITALIST
14780324-14612633,PRADA,BLACK LEATHER RE-EDITION 1978 BUCKET BAG,1896,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/BLACK-LEATHER-RE-EDITION-1978-BUCKET-BAG/14612633/14780324/PRADA/,ITALIST
14732019-14564328,PRADA,BLACK NYLON HANDBAG,1896,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-NYLON-HANDBAG/14564328/14732019/PRADA/,ITALIST
14731922-14564231,PRADA,BLACK RE-NYLON TOTE BAG,2296,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-RE-NYLON-TOTE-BAG/14564231/14731922/PRADA/,ITALIST
14718809-14551118,PRADA,LARGE BLACK LEATHER SHOPPING BAG,4039,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/LARGE-BLACK-LEATHER-SHOPPING-BAG/14551118/14718809/PRADA/,ITALIST
14712348-14544657,PRADA,BLACK LEATHER MEDIUM SHOPPING BAG,3849,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-MEDIUM-SHOPPING-BAG/14544657/14712348/PRADA/,ITALIST
14699240-14531549,PRADA,BLACK RE-NYLON BEAUTY CASE,421,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/BLACK-RE-NYLON-BEAUTY-CASE/14531549/14699240/PRADA/,ITALIST
14625132-14457441,PRADA,GREY LEATHER CROSSBODY BAG,2775,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/SHOULDER-BAGS/GREY-LEATHER-CROSSBODY-BAG/14457441/14625132/PRADA/,ITALIST
14625130-14457439,PRADA,BLACK LEATHER MINI PRADA RE-EDITION SHOULDER BAG,2091,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/BLACK-LEATHER-MINI-PRADA-RE-EDITION-SHOULDER-BAG/14457439/14625130/PRADA/,ITALIST
14625129-14457438,PRADA,PASTEL YELLOW LEATHER ARQU̬ HANDBAG,2189,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/PASTEL-YELLOW-LEATHER-ARQUA-HANDBAG/14457438/14625129/PRADA/,ITALIST
14573761-14406070,PRADA,EMBROIDERED FABRIC LARGE SYMBOLE SHOPPING BAG,2775,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/EMBROIDERED-FABRIC-LARGE-SYMBOLE-SHOPPING-BAG/14406070/14573761/PRADA/,ITALIST
14565364-14397673,PRADA,ARMY GREEN CROCHET AND LEATHER MINI POUCH,1115,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/LUGGAGE/ARMY-GREEN-CROCHET-AND-LEATHER-MINI-POUCH/14397673/14565364/PRADA/,ITALIST
14565352-14397661,PRADA,CARAMEL LEATHER SHOPPING BAG,3458,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-SHOPPING-BAG/14397661/14565352/PRADA/,ITALIST
14565351-14397660,PRADA,CARAMEL LEATHER SHOPPING BAG,3849,HTTPS://WWW.ITALIST.COM/US/WOMEN/BAGS/TOTES/CARAMEL-LEATHER-SHOPPING-BAG/14397660/14565351/PRADA/,ITALIST
